expiration,strike,GEX
2026-06-01,7505,-7.58436506778878
2026-06-01,7510,-62.67443496927278
2026-06-01,7515,-31.59577538467464
2026-06-01,7520,17.133770175868303
2026-06-01,7525,58.43408540864537
2026-06-01,7530,29.56178657104036
2026-06-01,7535,38.84114231685773
2026-06-01,7540,14.479242402142226
2026-06-01,7545,39.66278186586817
2026-06-01,7550,147.32629144179725
2026-06-01,7555,54.607428488079236
2026-06-01,7560,560.5880016696066
2026-06-01,7565,40.128186085937024
2026-06-01,7570,325.69102235040873
2026-06-01,7575,444.53572467021417
2026-06-01,7580,380.3444166873836
2026-06-01,7585,675.5773184132861
2026-06-01,7590,2284.2498779468474
2026-06-01,7595,82.06053174102988
2026-06-01,7600,2343.982498586796
2026-06-01,7605,169.68293119843813
2026-06-01,7610,249.10617235907787
2026-06-01,7615,166.48255896907582
2026-06-01,7620,232.6331612610851
2026-06-01,7625,238.5282813819573
2026-06-01,7630,244.21655518279886
2026-06-01,7635,286.9303202691185
2026-06-01,7640,355.1551314925457
2026-06-01,7645,33.486120920509876
2026-06-01,7650,340.1587732903269
2026-06-01,7655,42.85166263300663
2026-06-02,7505,17.06482140252476
2026-06-02,7510,-21.489034358734887
2026-06-02,7515,-28.958484804284453
2026-06-02,7520,-25.545520523779505
2026-06-02,7525,52.401067741086145
2026-06-02,7530,66.21380533424087
2026-06-02,7535,-9.566642301415396
2026-06-02,7540,-91.81678316914001
2026-06-02,7545,28.99870492206818
2026-06-02,7550,-0.5745731111961007
2026-06-02,7555,22.70712935447067
2026-06-02,7560,41.265840846105334
2026-06-02,7565,35.077688438523126
2026-06-02,7570,57.27344772402925
2026-06-02,7575,31.992230831399954
2026-06-02,7580,193.28639460637473
2026-06-02,7585,48.476733391616655
2026-06-02,7590,65.98397608976244
2026-06-02,7595,33.32524044937495
2026-06-02,7600,231.8747247543062
2026-06-02,7605,208.17932964857826
2026-06-02,7610,143.654769261254
2026-06-02,7615,50.79226302973701
2026-06-02,7620,95.37913645855592
