strike,cumulative_gex_bn_per_pct
50,0.0
55,0.0
60,0.0
65,0.0
70,0.0
75,0.0
80,0.0
85,0.0
90,0.0
95,0.0
100,0.0
105,0.0
110,0.0
115,0.0
120,0.0
125,0.0
130,0.0
135,0.0
140,0.0
145,0.0
150,0.0
155,0.0
160,0.0
165,0.0
170,0.0
175,0.0
180,0.0
185,0.0
190,0.0
195,0.0
200,0.0
205,0.0
210,0.0
215,0.0
220,-1.1431324808e-07
225,-1.48607222504e-06
230,-2.5720480818e-06
235,-5.80139734006e-05
240,-9.179353820824e-05
245,-0.00010962640490872001
250,-0.00026680712101872
255,-0.000288640951402
260,-0.00030938880592852
265,-0.00045033704081116
270,-0.0005349860010144
275,-0.0005841406976888
280,-0.0006624452726236
285,-0.00070565568039784
290,-0.00075949722024352
295,-0.00079893529083112
300,-0.00124138471752476
305,-0.00130214220887928
310,-0.00146418123803268
315,-0.00153596995782692
320,-0.0017679686948052801
325,-0.0020951903674342803
330,-0.00243704413581752
335,-0.00259914032159496
340,-0.0033545222649076
345,-0.0037633635966657203
350,-0.00548840766681696
355,-0.00562112534783784
360,-0.0065176269959052405
365,-0.006739680480300641
370,-0.007384921609088201
375,-0.008775027862365042
380,-0.009505432360972201
385,-0.01010963503369904
390,-0.01061329920473952
395,-0.01112519392964176
400,-0.01802468433075824
405,-0.01855029664543008
410,-0.02152129796302928
415,-0.0225400004732942
420,-0.0240369324569018
425,-0.02579158365830576
430,-0.027163571261761922
435,-0.02772856449039732
440,-0.028978236918407882
445,-0.029735162090569603
450,-0.038173251654218844
455,-0.040075824198638324
460,-0.050453923895453244
465,-0.052004468792410365
470,-0.06337806541012997
475,-0.06662736233017993
480,-0.07597561397504213
485,-0.07789384743444856
490,-0.0868469181806982
495,-0.08858773747908448
500,-0.10606714761650111
501,-0.10608618077230643
502,-0.1061037278558867
503,-0.10611950308412174
504,-0.10618683358724086
505,-0.12025582228143879
506,-0.12026765370261507
507,-0.12027925649729519
508,-0.12029434584604175
509,-0.12029874690609282
510,-0.1238025622729929
511,-0.12381136439309506
512,-0.12381153586296718
513,-0.12383491292219954
514,-0.12385571793335011
515,-0.12800003042924243
516,-0.12801363370576396
517,-0.12801546271773323
518,-0.12803272401819332
519,-0.1280420977045359
520,-0.14036243664285405
521,-0.140378097557841
522,-0.1403802695095545
523,-0.1403919866174827
524,-0.14040747606259754
525,-0.14814974088518382
526,-0.1481594575112706
527,-0.14817237490830365
528,-0.14817328941428828
529,-0.14817363235403253
530,-0.19092124294342064
531,-0.1909426195208116
532,-0.19095233614689838
533,-0.19096245286935346
534,-0.1909671968691488
535,-0.20193715340789792
536,-0.20194058280534033
537,-0.20194549827500777
538,-0.20194767022672128
539,-0.20195252853976467
540,-0.23494859034506435
541,-0.2350098050894112
542,-0.23501654957104792
543,-0.23503289636552335
544,-0.23503718311232635
545,-0.24224377605440975
546,-0.24225320689737634
547,-0.24226349508970355
548,-0.2422671531136421
549,-0.24227555513737598
550,-0.3166816482162797
551,-0.31668473467397784
552,-0.3166873638786837
553,-0.3166911362158703
554,-0.31669490855305693
555,-0.3488431089973473
556,-0.34886385685187377
557,-0.3488688294781652
558,-0.3488763169959145
559,-0.34888340441729543
560,-0.35847405730471127
561,-0.35851263802593825
562,-0.35855893489141066
563,-0.35859482925130776
564,-0.35870554163207324
565,-0.3887025953739941
566,-0.3887153984577791
567,-0.38873037349327755
568,-0.38875243595015696
569,-0.38882331016396654
570,-0.39860909576585496
571,-0.398720551182733
572,-0.39876433315674764
573,-0.398817717443601
574,-0.39885098259879226
575,-0.42268472325723183
576,-0.4227495960255172
577,-0.4228444760214236
578,-0.4228594510569221
579,-0.42289168739288063
580,-0.4525027624526594
581,-0.4525130506449866
582,-0.452565063172863
583,-0.45261530384539417
584,-0.4564657741370968
585,-0.476153601914171
586,-0.4761954977195923
587,-0.4762133877429168
588,-0.47625825569278823
589,-0.47772981013532206
590,-0.5355613967486104
591,-0.5355891748678938
592,-0.5356418161186347
593,-0.5356809684061021
594,-0.5348710590434553
595,-0.5531554059172273
596,-0.5531840413858714
597,-0.5534331871100617
598,-0.5565703427337452
599,-0.5561136613076656
600,-0.6676991666619806
601,-0.6674279013242868
602,-0.667619718954565
603,-0.6680229589371671
604,-0.668101434981974
605,-0.704770209978212
606,-0.7040173429263572
607,-0.7040974193566373
608,-0.7044462462331534
609,-0.7047931297844522
610,-0.7333222299511537
611,-0.7329257916068123
612,-0.7337420453547275
613,-0.7338408691576926
614,-0.7348121316700044
615,-0.8062896336463465
616,-0.811975974702214
617,-0.8122748466893193
618,-0.8129910191885404
619,-0.8142239447257072
620,-0.8812973001932713
621,-0.8818221694718307
622,-0.8845443680049837
623,-0.8852052700487583
624,-0.8850287132370988
625,-0.9711168772336659
626,-0.9716650664148335
627,-0.9723690645531342
628,-0.9727685893551739
629,-0.9724745756811121
630,-1.1383003454904101
631,-1.1390872778901928
632,-1.1397030833575998
633,-1.1401265567851122
634,-1.140993565615175
635,-1.172323683299581
636,-1.172895249539981
637,-1.17331980894335
638,-1.1731522257216649
639,-1.173293802679412
640,-1.247131587445486
641,-1.2445653693393381
642,-1.244911109758156
643,-1.2454459242892983
644,-1.2458930605591632
645,-1.306847685109997
646,-1.3078018577917208
647,-1.3077171516748936
648,-1.308865142468737
649,-1.3096667641208979
650,-1.448011686248388
651,-1.4487095686279166
652,-1.4493352050346584
653,-1.450559156981851
654,-1.4512934481308928
655,-1.5195970999309178
656,-1.5205867097195465
657,-1.5221496004472963
658,-1.5246200240515533
659,-1.5261413047570018
660,-1.7382273026426902
661,-1.7397505266733562
662,-1.7411024523017742
663,-1.7421147532701466
664,-1.7449582381595126
665,-1.8955460519997467
666,-1.8989639038040906
667,-1.9000765718042774
668,-1.9012144458756657
669,-1.9029329169340523
670,-2.0012265350546175
671,-2.0021636750623775
672,-2.0041999941070507
673,-2.007479584037842
674,-2.00977402239668
675,-2.0695709395275834
676,-2.0758913761705506
677,-2.07831967534289
678,-2.0819041387063106
679,-2.086866305335591
680,-2.190149125168608
681,-2.223791514078552
682,-2.2579917516391266
683,-2.270574268011916
684,-2.256006187676601
685,-2.3259091961305134
686,-2.342355728914903
687,-2.3488949611146954
688,-2.363486475665867
689,-2.36749144031235
690,-2.5345155559012706
691,-2.547633801311187
692,-2.557145806683924
693,-2.578459683258312
694,-2.583626299131784
695,-2.6546113967920215
696,-2.6748857658449943
697,-2.682349963691626
698,-2.713597490054294
699,-2.71902136789257
700,-3.044221467885899
701,-3.053246441665191
702,-3.1326263613246796
703,-3.1646724228818104
704,-3.2114579774897525
705,-3.295852990812383
706,-3.325571634638605
707,-3.3361592705191505
708,-3.3566372886235776
709,-3.415710888677255
