expiration,strike,GEX
2026-05-29,6445,0.0
2026-05-29,6450,0.0
2026-05-29,6455,0.0
2026-05-29,6460,0.0
2026-05-29,6465,0.0
2026-05-29,6470,0.0
2026-05-29,6475,0.0
2026-05-29,6480,0.0
2026-05-29,6485,0.0
2026-05-29,6490,0.0
2026-05-29,6495,0.0
2026-05-29,6500,0.0
2026-05-29,6505,0.0
2026-05-29,6510,0.0
2026-05-29,6515,0.0
2026-05-29,6520,0.0
2026-05-29,6525,0.0
2026-05-29,6530,0.0
2026-05-29,6535,0.0
2026-05-29,6540,0.0
2026-05-29,6545,0.0
2026-05-29,6550,0.0
2026-05-29,6555,0.0
2026-05-29,6560,0.0
2026-05-29,6565,0.0
2026-05-29,6570,0.0
2026-05-29,6575,0.0
2026-05-29,6580,0.0
2026-05-29,6585,0.0
2026-05-29,6590,0.0
2026-05-29,6595,0.0
2026-05-29,6600,0.0
2026-05-29,6605,0.0
2026-05-29,6610,0.0
2026-05-29,6615,0.0
2026-05-29,6620,0.0
2026-05-29,6625,0.0
2026-05-29,6630,0.0
2026-05-29,6635,0.0
2026-05-29,6640,0.0
2026-05-29,6645,0.0
2026-05-29,6650,0.0
2026-05-29,6655,0.0
2026-05-29,6660,0.0
2026-05-29,6665,0.0
2026-05-29,6670,0.0
2026-05-29,6675,0.0
2026-05-29,6680,0.0
2026-05-29,6685,0.0
2026-05-29,6690,0.0
2026-05-29,6695,0.0
2026-05-29,6700,0.0
2026-05-29,6705,0.0
2026-05-29,6710,0.0
2026-05-29,6715,0.0
2026-05-29,6720,0.0
2026-05-29,6725,0.0
2026-05-29,6730,0.0
2026-05-29,6735,0.0
2026-05-29,6740,0.0
2026-05-29,6745,0.0
2026-05-29,6750,0.0
2026-05-29,6755,0.0
2026-05-29,6760,0.0
2026-05-29,6765,0.0
2026-05-29,6770,0.0
2026-05-29,6775,0.0
2026-05-29,6780,0.0
2026-05-29,6785,0.0
2026-05-29,6790,0.0
2026-05-29,6795,0.0
2026-05-29,6800,0.0
2026-05-29,6805,0.0
2026-05-29,6810,0.0
2026-05-29,6815,0.0
2026-05-29,6820,0.0
2026-05-29,6825,0.0
2026-05-29,6830,0.0
2026-05-29,6835,0.0
2026-05-29,6840,0.0
2026-05-29,6845,0.0
2026-05-29,6850,0.0
2026-05-29,6855,0.0
2026-05-29,6860,0.0
2026-05-29,6865,0.0
2026-05-29,6870,0.0
2026-05-29,6875,0.0
2026-05-29,6880,0.0
2026-05-29,6885,0.0
2026-05-29,6890,0.0
2026-05-29,6895,0.0
2026-05-29,6900,0.0
2026-05-29,6905,0.0
2026-05-29,6910,0.0
2026-05-29,6915,0.0
2026-05-29,6920,0.0
2026-05-29,6925,0.0
2026-05-29,6930,0.0
2026-05-29,6935,0.0
2026-05-29,6940,0.0
2026-05-29,6945,0.0
2026-05-29,6950,0.0
2026-05-29,6955,0.0
2026-05-29,6960,0.0
2026-05-29,6965,0.0
2026-05-29,6970,0.0
2026-05-29,6975,0.0
2026-05-29,6980,0.0
2026-05-29,6985,0.0
2026-05-29,6990,0.0
2026-05-29,6995,0.0
2026-05-29,7000,0.0
2026-05-29,7005,0.0
2026-05-29,7010,0.0
2026-05-29,7015,0.0
2026-05-29,7020,0.0
2026-05-29,7025,0.0
2026-05-29,7030,0.0
2026-05-29,7035,0.0
2026-05-29,7040,0.0
2026-05-29,7045,0.0
2026-05-29,7050,0.0
2026-05-29,7055,0.0
2026-05-29,7060,0.0
2026-05-29,7065,0.0
2026-05-29,7070,0.0
2026-05-29,7075,0.0
2026-05-29,7080,0.0
2026-05-29,7085,0.0
2026-05-29,7090,0.0
2026-05-29,7095,0.0
2026-05-29,7100,0.0
2026-05-29,7105,0.0
2026-05-29,7110,0.0
2026-05-29,7115,0.0
2026-05-29,7120,0.0
2026-05-29,7125,0.0
2026-05-29,7130,0.0
2026-05-29,7135,0.0
2026-05-29,7140,0.0
2026-05-29,7145,0.0
2026-05-29,7150,0.0
2026-05-29,7155,0.0
2026-05-29,7160,0.0
2026-05-29,7165,0.0
2026-05-29,7170,0.0
2026-05-29,7175,0.0
2026-05-29,7180,0.0
2026-05-29,7185,0.0
2026-05-29,7190,0.0
2026-05-29,7195,0.0
2026-05-29,7200,0.0
2026-05-29,7205,0.0
2026-05-29,7210,0.0
2026-05-29,7215,0.0
2026-05-29,7220,0.0
2026-05-29,7225,0.0
2026-05-29,7230,0.0
2026-05-29,7235,0.0
2026-05-29,7240,0.0
2026-05-29,7245,0.0
2026-05-29,7250,0.0
2026-05-29,7255,0.0
2026-05-29,7260,0.0
2026-05-29,7265,0.0
2026-05-29,7270,0.0
2026-05-29,7275,0.0
2026-05-29,7280,0.0
2026-05-29,7285,0.0
2026-05-29,7290,0.0
2026-05-29,7295,0.0
2026-05-29,7300,0.0
2026-05-29,7305,0.0
2026-05-29,7310,0.0
2026-05-29,7315,0.0
2026-05-29,7320,0.0
2026-05-29,7325,0.0
2026-05-29,7330,0.0
2026-05-29,7335,0.0
2026-05-29,7340,0.0
2026-05-29,7345,0.0
2026-05-29,7350,0.0
2026-05-29,7355,0.0
2026-05-29,7360,0.0
2026-05-29,7365,0.0
2026-05-29,7370,0.0
2026-05-29,7375,0.0
2026-05-29,7380,0.0
2026-05-29,7385,0.0
2026-05-29,7390,0.0
2026-05-29,7395,0.0
2026-05-29,7400,0.0
2026-05-29,7405,0.0
2026-05-29,7410,0.0
2026-05-29,7415,0.0
2026-05-29,7420,0.0
2026-05-29,7425,0.0
2026-05-29,7430,0.0
2026-05-29,7435,0.0
2026-05-29,7440,0.0
2026-05-29,7445,0.0
2026-05-29,7450,0.0
2026-05-29,7455,0.0
2026-05-29,7460,0.0
2026-05-29,7465,0.0
2026-05-29,7470,0.0
2026-05-29,7475,0.0
2026-05-29,7480,0.0
2026-05-29,7485,0.0
2026-05-29,7490,0.0
2026-05-29,7495,0.0
2026-05-29,7500,0.0
2026-05-29,7505,0.0
2026-05-29,7510,0.0
2026-05-29,7515,0.0
2026-05-29,7520,0.0
2026-05-29,7525,0.0
2026-05-29,7530,0.0
2026-05-29,7535,0.0
2026-05-29,7540,0.0
2026-05-29,7545,0.0
2026-05-29,7550,0.0
2026-05-29,7555,0.0
2026-05-29,7560,23.72986949239976
2026-05-29,7565,5.837662809752578
2026-05-29,7570,30.751152911216355
2026-05-29,7575,96.62021437873955
2026-05-29,7580,602.8191253425214
2026-05-29,7585,-263.5796690301082
2026-05-29,7590,-221.44047705498465
2026-05-29,7595,0.0
2026-05-29,7600,0.0
2026-05-29,7605,0.0
2026-05-29,7610,0.0
2026-05-29,7615,0.0
2026-05-29,7620,0.0
2026-05-29,7625,0.0
2026-05-29,7630,0.0
2026-05-29,7635,0.0
2026-05-29,7640,0.0
