expiration,strike,GEX
2026-05-29,6455,0.0
2026-05-29,6460,0.0
2026-05-29,6465,0.0
2026-05-29,6470,0.0
2026-05-29,6475,0.0
2026-05-29,6480,0.0
2026-05-29,6485,0.0
2026-05-29,6490,0.0
2026-05-29,6495,0.0
2026-05-29,6500,0.0
2026-05-29,6505,0.0
2026-05-29,6510,0.0
2026-05-29,6515,0.0
2026-05-29,6520,0.0
2026-05-29,6525,0.0
2026-05-29,6530,0.0
2026-05-29,6535,0.0
2026-05-29,6540,0.0
2026-05-29,6545,0.0
2026-05-29,6550,0.0
2026-05-29,6555,0.0
2026-05-29,6560,0.0
2026-05-29,6565,0.0
2026-05-29,6570,0.0
2026-05-29,6575,0.0
2026-05-29,6580,0.0
2026-05-29,6585,0.0
2026-05-29,6590,0.0
2026-05-29,6595,0.0
2026-05-29,6600,0.0
2026-05-29,6605,0.0
2026-05-29,6610,0.0
2026-05-29,6615,0.0
2026-05-29,6620,0.0
2026-05-29,6625,0.0
2026-05-29,6630,0.0
2026-05-29,6635,0.0
2026-05-29,6640,0.0
2026-05-29,6645,0.0
2026-05-29,6650,0.0
2026-05-29,6655,0.0
2026-05-29,6660,0.0
2026-05-29,6665,0.0
2026-05-29,6670,0.0
2026-05-29,6675,0.0
2026-05-29,6680,0.0
2026-05-29,6685,0.0
2026-05-29,6690,0.0
2026-05-29,6695,0.0
2026-05-29,6700,0.0
2026-05-29,6705,0.0
2026-05-29,6710,0.0
2026-05-29,6715,0.0
2026-05-29,6720,0.0
2026-05-29,6725,0.0
2026-05-29,6730,0.0
2026-05-29,6735,0.0
2026-05-29,6740,0.0
2026-05-29,6745,0.0
2026-05-29,6750,0.0
2026-05-29,6755,0.0
2026-05-29,6760,0.0
2026-05-29,6765,0.0
2026-05-29,6770,0.0
2026-05-29,6775,0.0
2026-05-29,6780,0.0
2026-05-29,6785,0.0
2026-05-29,6790,0.0
2026-05-29,6795,0.0
2026-05-29,6800,0.0
2026-05-29,6805,0.0
2026-05-29,6810,0.0
2026-05-29,6815,0.0
2026-05-29,6820,0.0
2026-05-29,6825,0.0
2026-05-29,6830,0.0
2026-05-29,6835,0.0
2026-05-29,6840,0.0
2026-05-29,6845,0.0
2026-05-29,6850,0.0
2026-05-29,6855,0.0
2026-05-29,6860,0.0
2026-05-29,6865,0.0
2026-05-29,6870,0.0
2026-05-29,6875,0.0
2026-05-29,6880,0.0
2026-05-29,6885,0.0
2026-05-29,6890,0.0
2026-05-29,6895,0.0
2026-05-29,6900,0.0
2026-05-29,6905,0.0
2026-05-29,6910,0.0
2026-05-29,6915,0.0
2026-05-29,6920,0.0
2026-05-29,6925,0.0
2026-05-29,6930,0.0
2026-05-29,6935,0.0
2026-05-29,6940,0.0
2026-05-29,6945,0.0
2026-05-29,6950,0.0
2026-05-29,6955,0.0
2026-05-29,6960,0.0
2026-05-29,6965,0.0
2026-05-29,6970,0.0
2026-05-29,6975,0.0
2026-05-29,6980,0.0
2026-05-29,6985,0.0
2026-05-29,6990,0.0
2026-05-29,6995,0.0
2026-05-29,7000,0.0
2026-05-29,7005,0.0
2026-05-29,7010,0.0
2026-05-29,7015,0.0
2026-05-29,7020,0.0
2026-05-29,7025,0.0
2026-05-29,7030,0.0
2026-05-29,7035,0.0
2026-05-29,7040,0.0
2026-05-29,7045,0.0
2026-05-29,7050,0.0
2026-05-29,7055,0.0
2026-05-29,7060,0.0
2026-05-29,7065,0.0
2026-05-29,7070,0.0
2026-05-29,7075,0.0
2026-05-29,7080,0.0
