expiration,gex_bn_per_pct
2026-05-29,0.27473787884953677
2026-06-01,10.149747823312783
2026-06-02,2.697804620461367
2026-06-03,2.072054282251008
2026-06-04,1.5217166648851401
2026-06-05,5.032007884695604
2026-06-08,1.0761179799592133
2026-06-09,0.469736501327276
2026-06-10,1.1300014463271855
2026-06-11,0.5062678597371253
2026-06-12,2.756451297921154
2026-06-15,0.5692870385731158
2026-06-16,0.21148887076906786
2026-06-17,0.26518847374145726
2026-06-18,18.844578851648084
2026-06-22,0.09931496227024936
2026-06-23,0.34849582913378274
2026-06-24,0.05698041543731923
2026-06-25,0.11285765050114191
2026-06-26,0.1567090703476297
2026-06-29,0.04883296872055824
2026-06-30,4.735987817807364
2026-07-01,-0.012249898730701278
2026-07-02,-0.0452131581200227
2026-07-06,0.007164926696615619
2026-07-07,0.0
2026-07-09,0.04545447882672505
2026-07-10,-0.5005623487429479
2026-07-17,8.57663559363115
2026-07-24,-0.0447075337821701
2026-07-31,2.283049020144447
2026-08-21,2.7210116284225774
2026-08-31,0.06631722849425616
2026-09-18,4.5201494285865405
2026-09-30,0.9571066514371609
2026-10-16,0.8324013033831548
2026-10-30,-0.05319972436564875
2026-11-20,0.9025566802602013
2026-12-18,3.743562157224977
2026-12-31,13.905100220779504
2027-01-15,0.7700601208183759
2027-02-19,0.3996902933413569
2027-03-19,0.9308946261043938
2027-03-31,0.07178141878173128
2027-04-16,0.3553447406192405
2027-05-21,0.4404217811940499
