expiration,gex_bn_per_pct
2026-05-29,1.0731807320744706
2026-06-01,0.097056913616384
2026-06-03,0.02452902464545025
2026-06-05,0.28814781817075197
2026-06-08,0.01033627892498944
2026-06-10,0.00487343219674368
2026-06-12,0.06969014593955584
2026-06-18,0.37770248117528576
2026-06-26,0.01753586485435392
2026-07-02,0.004803394672793602
2026-07-10,-4.027263694592014e-05
2026-07-17,0.1484963848589798
2026-08-21,0.046294162212119044
2026-09-18,0.07849523969144834
2026-10-16,0.004697308353955842
2026-11-20,0.002563226296358401
2026-12-18,0.06517872906314752
2027-01-15,0.10026646317340417
2027-03-19,0.00939337689712896
