strike,gex_bn_per_pct
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,-5.326943667199994e-07
31,0.0
32,0.0
33,0.0
34,0.0
35,-3.4648704384000013e-06
36,0.0
37,0.0
38,0.0
39,0.0
40,-2.4018387596800002e-05
41,0.0
42,0.0
43,0.0
44,0.0
45,-3.4252719191040004e-05
46,0.0
47,0.0
48,0.0
49,3.530867970559999e-06
50,-0.00021750429545216
51,-7.636857292799995e-07
52,-1.8149321344e-06
53,1.6357959756799997e-06
54,-6.439473495040002e-06
55,-8.0375565952e-05
56,-4.728251768320001e-06
57,-2.2179884915199998e-05
58,-2.0751509754880002e-05
59,3.3404179491840005e-05
60,-0.00026854867246848
61,-6.241480898560001e-06
62,-1.0512464051200005e-06
63,7.0805923788800025e-06
64,-2.965174837760001e-06
65,-9.02280546816e-05
66,1.8620732288e-06
67,-1.942213089279999e-06
68,-1.3694487923199998e-05
69,1.6348531537920002e-05
70,-0.00021233291739648002
71,-9.937342699520008e-06
72,-0.00012937401947136
73,2.168490342400001e-06
74,3.214079816192001e-05
75,-0.00043201513140992
76,-1.8696158039039997e-05
77,-5.374084761599999e-06
78,-1.1445857720320004e-05
79,6.279193774080002e-06
80,-0.0006392238118451202
81,1.150242703359996e-06
82,-2.855807498751999e-05
83,1.363791860992e-05
84,4.072990556160003e-06
85,-0.00073759784763904
86,-3.4530851648e-05
87,1.7182928908800004e-05
88,4.1913147031039995e-05
89,-0.00011795173229824003
90,-0.0013618072209177602
91,1.716407247104001e-05
92,-1.1238436904959991e-05
93,2.2952998863360015e-05
94,7.212587443200063e-07
95,-0.0010391122874214402
96,-2.0478091407359996e-05
97,4.648583318783999e-05
98,-1.2157688245760004e-05
99,-3.7444171281920006e-05
100,-0.0021304144804531206
101,0.00013821297467135998
102,1.3755771345920006e-05
103,0.00029520696135168007
104,-9.597926819840003e-06
105,0.00011437372323327986
106,-4.855532723200049e-07
107,-1.2011550853120002e-05
108,-5.273202819584001e-05
109,2.1307774668799976e-06
110,-0.0021745432589209603
111,-6.741176499200006e-06
112,-0.00012324567719936
113,-4.279468549631999e-05
114,-6.011432357887999e-05
115,-0.0022703481050700804
116,-0.00019135513038848003
117,-3.009487466496002e-05
118,-3.427157562879999e-05
119,-5.210976574976001e-05
120,-0.005483060829524481
121,-5.1709066447360014e-05
122,3.850013179648004e-05
123,-4.422306065664e-05
124,-0.00048147556765440003
125,-0.004894504265940481
126,4.7871781363200016e-05
127,-0.00015248729805568005
128,-0.00013077882408448
129,-6.494628575488003e-05
130,-0.00577677813229312
132,-0.00027816545572608
134,-0.00013577578009088006
135,-0.0030410012881024007
136,4.916816145920005e-06
138,-0.0003049085985792
140,-0.013338006967347202
142,-7.304512577279996e-05
144,-0.00011333190504704003
145,-0.007155980417044481
146,-0.0004533559048448
148,0.00028943689139712
150,-0.01675812636483328
152,-0.00041511504906752004
154,-0.00010210289636095996
155,-0.0092301555718784
156,-4.4133492577280064e-05
157,-3.124511736832e-05
158,-0.0005548648234163201
160,-0.0057542541173887995
162,-0.0006293006114739202
164,0.0030508207780659204
165,-0.01312828566658048
166,-0.00043541871842560007
167,-0.0007075831128345601
168,-0.00039260517649152016
169,-0.00040299035958783996
170,-0.01959122128430336
171,-0.0003143085328025601
172,-0.0007103078680908799
173,-0.0003250519882163201
174,-0.00020994286391040002
175,-0.01581115134641664
176,0.0018096900447027203
177,0.00016200508501504002
178,-0.0004741404133657602
179,4.810748683520005e-05
180,-0.020243578605048322
181,-0.0008032653921382401
182,-0.0006980134706713601
183,-7.966844953599968e-06
184,9.615369024768018e-05
185,-0.008060660445565443
186,0.00017703838001920002
187,-0.0013320517621324799
188,-0.00214791796880384
189,0.0013922603679001602
190,0.01722961744869376
191,-0.0003422019183590401
192,-0.0016328072302950404
193,0.0009315645946572804
194,0.0029678854506880003
195,-0.023893939821693435
197,-0.0026660315950259197
200,0.024993534133230067
202,-0.007996501416087041
205,-0.015060236139609605
207,-0.015573805364331521
210,0.05808471090058242
212,0.019619982065996806
213,0.0015749839639040016
214,0.0012823131934310396
215,0.2899079016418177
216,-0.0006255481803596812
217,0.8425903893763124
218,0.0034392869664691197
219,0.0034644414544409592
220,0.4203629795463962
221,0.00173838442531328
222,0.06327683575190785
223,0.004892529054085119
224,0.0024772079414067207
225,0.155477339820736
226,0.00223417674333696
227,0.0129460523379584
228,0.013158026983037441
230,0.15386105082991874
232,0.004996182892451841
235,0.05497805149619967
237,0.00469670966205696
240,0.10906290182036482
242,0.00236097214494464
245,0.04441442050113791
247,0.00051586028190976
250,0.11512036745693441
252,0.00034145708906752
255,0.02067630556698368
257,0.00010519535215360001
260,0.04439480037764865
262,4.4963175838720005e-05
265,0.0173408751455872
267,3.053800095232e-05
270,0.0314173944978048
272,7.712283043840002e-06
275,0.012019979680798721
277,6.91559854848e-06
280,0.026307413003471364
282,1.604682853376e-05
285,0.004201247331694079
287,1.81021802496e-06
290,0.01654098976991744
292,1.6975508093439998e-05
295,0.00331440549329408
297,3.856141521920001e-06
300,0.05599556844827648
302,0.0
305,0.00057539948413696
310,0.00713069864811776
315,0.00041411565786624006
320,0.00522821607319808
325,0.00043161443210752
330,0.00427215696589056
335,0.00016348531537920005
340,0.012548148502456322
345,0.000128813040448
350,0.01055200128707328
355,3.352203222784e-05
360,0.003891690621207041
365,5.1280082488320004e-05
370,0.0029109012957772803
375,2.4249378959360004e-05
380,0.004735648206031361
385,6.678950254592e-05
390,0.0025713251363763206
395,8.485396992000001e-07
400,0.009277749220784642
405,7.3540107264e-07
410,0.0030353113580083206
415,0.0
420,0.005897530045598721
425,3.4884409856e-07
430,0.00018455738457600002
435,4.4312628736000007e-07
440,0.00048758505348864007
445,5.751213516800001e-07
450,0.00100994609231616
455,0.00012090747891712
460,0.00052230446951424
