expiration,gex_bn_per_pct
2026-05-29,6.643040060373807
2026-06-01,0.012430079656474972
2026-06-02,0.16817302088874878
2026-06-03,0.2121549859309047
2026-06-04,0.09426041810180642
2026-06-05,-0.2655735667586887
2026-06-08,-0.03224993923508152
2026-06-09,0.11009680392456919
2026-06-10,-0.023195472637784917
2026-06-11,-0.0030767410720731994
2026-06-12,0.6088023520464588
2026-06-18,0.7401793101372327
2026-06-26,-0.007336795731646516
2026-06-30,-0.049610349281246906
2026-07-02,0.057759569266997955
2026-07-10,-0.002028145647435359
2026-07-17,-0.08708754756790664
2026-07-31,0.029077517974365363
2026-08-21,0.1403488333663325
2026-08-31,0.002831024745325241
2026-09-18,0.3524052812773923
2026-09-30,0.567806763453769
2026-10-16,0.001435602926012675
2026-10-30,0.07245030771750299
2026-11-20,0.02544892969718596
2026-11-30,0.0034914123794833997
2026-12-18,0.03166511265790417
2026-12-31,0.09434352383316057
2027-01-15,0.14705364830596873
2027-03-19,0.2251746933209763
2027-03-31,0.01300336059559616
