expiration,strike,GEX
2026-05-29,185,-0.2739368995584
2026-05-29,187,-0.18852666472448001
2026-05-29,190,-0.5524417711641602
2026-05-29,192,-0.19004932207360004
2026-05-29,195,-1.0432277049625605
2026-05-29,197,-1.0805493093990401
2026-05-29,200,-1.1344975778304
2026-05-29,202,-2.2297077675878407
2026-05-29,205,-1.7234642689356805
2026-05-29,207,-6.152252235079681
2026-05-29,210,-5.695888728412158
2026-05-29,212,3.2983728070886413
2026-05-29,215,172.75607828979463
2026-05-29,217,750.2567682851173
2026-05-29,220,158.287774016128
2026-05-29,222,9.211322704665603
2026-05-29,225,0.8451078275276801
2026-05-29,227,0.0
2026-05-29,230,0.0
2026-05-29,232,0.0
2026-05-29,235,0.0
2026-05-29,237,0.0
2026-05-29,240,0.0
2026-05-29,242,0.0
2026-05-29,245,0.0
2026-05-29,247,0.0
2026-06-01,185,-0.03373888126208
2026-06-01,187,-0.005845495705599999
2026-06-01,190,-0.033352324288
2026-06-01,192,-0.06298521622784001
2026-06-01,195,-0.13878338191359998
2026-06-01,197,-0.35197426722816005
2026-06-01,200,-1.03729735528704
2026-06-01,202,-0.667282191232
2026-06-01,205,-1.8832490084044806
2026-06-01,207,-1.9593960181888002
2026-06-01,210,6.6189066426547205
2026-06-01,212,3.5871638654924825
2026-06-01,215,23.629482996218883
2026-06-01,217,16.76128010404864
2026-06-01,220,25.204033262054402
2026-06-01,222,6.032768417213441
2026-06-01,225,11.691335541189119
2026-06-01,227,2.65391161965568
2026-06-01,230,3.2878650571468797
2026-06-01,232,0.7363674650752
2026-06-01,235,0.50080813046784
2026-06-01,237,0.07164503526912
2026-06-01,240,0.4631895371366401
2026-06-01,242,0.08013986048
2026-06-01,245,2.43802426374144
2026-06-01,247,0.021835754926079996
2026-06-03,185,-0.04384121779200001
2026-06-03,187,-0.0009899629824000002
2026-06-03,190,-0.4027169412403199
2026-06-03,192,-0.01568855621632
2026-06-03,195,-0.7162429318758401
2026-06-03,197,-0.07731139481600001
2026-06-03,200,-1.2413570106163199
2026-06-03,202,-0.14168727332864003
2026-06-03,205,-1.20511022313216
2026-06-03,207,-0.3556607008102401
2026-06-03,210,-7.167591268595198
2026-06-03,212,-0.7609986868992002
2026-06-03,215,5.019555447055362
2026-06-03,217,1.6043057246208001
2026-06-03,220,13.136111088250882
2026-06-03,222,0.7848992217600002
2026-06-03,225,5.6180964944332805
2026-06-03,227,1.04636258774016
2026-06-03,230,7.504329534113283
2026-06-03,232,0.006406474728959991
2026-06-03,235,1.0254413700454401
2026-06-03,237,0.30442775941632
2026-06-03,240,0.32072914985984
2026-06-03,242,0.05167606768128002
