strike,cumulative_gex_bn_per_pct
200,-2.1099999999999998e-05
400,-0.00013639999999999998
600,-0.00043210000000000004
800,-0.0010364
1000,-0.0021696
1200,-0.003912
1400,-0.005601
1600,-0.0086305
1800,-0.0118452
2000,-0.021073099999999997
2200,-0.0340477
2300,-0.0347204
2400,-0.0451774
2500,-0.063125
2600,-0.0728405
2700,-0.0960187
2800,-0.124051
2900,-0.12821649999999998
3000,-0.16074349999999998
3100,-0.16729129999999998
3200,-0.1915091
3300,-0.2219774
3350,-0.22197809999999998
3400,-0.24621629999999997
3450,-0.24700889999999998
3500,-0.3221128
3550,-0.3224585
3600,-0.34963269999999996
3650,-0.35067289999999995
3700,-0.369646
3750,-0.37109299999999995
3800,-0.41156449999999994
3850,-0.4160037999999999
3875,-0.4160132999999999
3900,-0.44459619999999994
3925,-0.44461179999999995
3950,-0.44960599999999995
3975,-0.44987639999999995
4000,-0.5296962999999999
4025,-0.5301358999999999
4050,-0.5394885999999999
4075,-0.5399226999999999
4100,-0.5718681999999998
4125,-0.5746841999999999
4150,-0.5854891999999998
4175,-0.5869159999999998
4200,-0.6406275999999997
4225,-0.6422958999999997
4250,-0.6562408999999997
4275,-0.6585983999999997
4300,-0.7061419999999997
4325,-0.7101355999999998
4350,-0.7222236999999998
4375,-0.7254713999999998
4400,-0.7893064999999998
4425,-0.7932763999999998
4450,-0.8120648999999998
4475,-0.8156278999999997
4500,-0.9591022999999997
4525,-0.9635120999999998
4550,-0.9831481999999998
4575,-0.9900419999999998
4600,-1.0756284999999997
4625,-1.0873038999999995
4650,-1.1175487999999996
4675,-1.1262700999999995
4700,-1.2164803999999996
4725,-1.2222810999999996
4750,-1.2665589999999995
4775,-1.2807991999999995
4800,-1.4159081999999994
4825,-1.4246707999999995
4850,-1.4734715999999994
4875,-1.4888859999999995
4900,-1.5809468999999994
4925,-1.5936191999999993
4950,-1.6192344999999992
4975,-1.6380981999999993
5000,-1.9711821999999994
5005,-1.9712363999999993
5010,-1.9712531999999994
5015,-1.9712575999999993
5020,-1.9712575999999993
5025,-1.9849730999999993
5030,-1.9849769999999993
5035,-1.9849774999999994
5040,-1.9849780999999993
5045,-1.9849786999999992
5050,-2.0344043999999992
5055,-2.034405599999999
5060,-2.034407399999999
5065,-2.0344132999999993
5070,-2.034426399999999
5075,-2.0556055999999994
5080,-2.0556115999999993
5085,-2.0556121999999992
5090,-2.055613399999999
5095,-2.055614599999999
5100,-2.2357425999999987
5105,-2.2357444999999987
5110,-2.2357589999999985
5115,-2.2357602999999986
5120,-2.2358664999999984
5125,-2.2648273999999984
5130,-2.2648306999999983
5135,-2.2648517999999984
5140,-2.2649656999999985
5145,-2.2649676999999984
5150,-2.3281202999999984
5155,-2.3281216999999983
5160,-2.3281443999999984
5165,-2.3281554999999985
5170,-2.3281575999999986
5175,-2.3554437999999984
5180,-2.3554451999999984
5185,-2.3554494999999984
5190,-2.3556249999999985
5195,-2.3556483999999984
5200,-2.5693488999999983
5205,-2.5693889999999984
5210,-2.5717603999999983
5215,-2.5717603999999983
5220,-2.5717633999999983
5225,-2.612752899999998
5230,-2.612821099999998
5235,-2.6128241999999977
5240,-2.612840699999998
5245,-2.612840699999998
5250,-2.689068299999998
5255,-2.689070699999998
5260,-2.689093499999998
5265,-2.689093499999998
5270,-2.689095199999998
5275,-2.743694699999998
5280,-2.743723299999998
5290,-2.743792499999998
5300,-2.944767999999998
5310,-2.944772399999998
5320,-2.9447849999999978
5325,-2.9797848999999976
5330,-2.979793999999998
5340,-2.979797699999998
5350,-3.054699899999998
5360,-3.054884699999998
5370,-3.054992099999998
5375,-3.076085699999998
5380,-3.076211599999998
5390,-3.076390399999998
5400,-3.346258299999998
5410,-3.3467370999999977
5420,-3.3470217999999976
5425,-3.3729602999999977
5430,-3.373101599999998
5440,-3.3735162999999977
5450,-3.4648225999999975
5460,-3.4650672999999976
5470,-3.4652257999999976
5475,-3.5199508999999978
5480,-3.520428099999998
5490,-3.522403799999998
5500,-4.079423099999998
5510,-4.080725099999998
5520,-4.0816358999999975
5525,-4.106031699999997
5530,-4.107142699999997
5540,-4.108332299999997
5550,-4.179418399999997
5560,-4.182857399999997
5570,-4.186472399999997
5575,-4.231201099999997
5580,-4.233480899999997
5590,-4.237625699999997
5600,-4.623471599999997
5605,-4.623600699999996
5610,-4.625422299999997
5615,-4.625422299999997
5620,-4.627765499999997
5625,-4.673865699999997
5630,-4.675144899999997
5635,-4.675277299999997
5640,-4.678691599999997
5645,-4.678691599999997
5650,-4.787172399999997
5655,-4.787172399999997
5660,-4.788720399999996
5665,-4.7887283999999966
5670,-4.792573599999996
5675,-4.846522499999996
5680,-4.848798999999996
5685,-4.848880199999996
5690,-4.8522934999999965
5695,-4.852489899999997
5700,-5.316090399999997
5705,-5.316098699999997
5710,-5.320723799999997
5715,-5.320744599999997
5720,-5.323735199999997
5725,-5.372101699999997
5730,-5.374719299999997
5735,-5.374743599999997
5740,-5.381074299999997
5745,-5.381247399999997
5750,-5.631346199999997
5755,-5.631388299999997
5760,-5.633937099999996
5765,-5.633971199999996
5770,-5.636896399999996
5775,-5.702745699999996
5780,-5.706673699999996
5785,-5.706686599999996
5790,-5.7147985999999955
5795,-5.715674099999996
5800,-6.361335099999996
5805,-6.3613503999999965
5810,-6.366107999999996
5815,-6.366121299999996
5820,-6.3699394999999965
5825,-6.417504099999997
5830,-6.426676299999997
5835,-6.426687699999997
5840,-6.433116099999997
5845,-6.4331862999999965
5850,-6.683462399999996
5855,-6.683510899999996
5860,-6.688467799999996
5865,-6.688988099999996
5870,-6.691754699999996
5875,-6.746118999999996
5880,-6.751588899999995
5885,-6.751760199999995
5890,-6.758584499999995
5895,-6.758591999999995
5900,-7.548625799999995
5905,-7.548811399999995
5910,-7.561805199999995
5915,-7.561844099999995
5920,-7.575965599999995
5925,-7.736118099999994
5930,-7.7427264999999945
5935,-7.742745299999995
5940,-7.757913599999995
5945,-7.760147799999995
5950,-7.9409711999999955
5955,-7.940976799999995
5960,-7.949164799999995
5965,-7.9492273999999945
5970,-7.954258399999994
5975,-8.033663899999993
5980,-8.037512699999994
5985,-8.037616099999994
5990,-8.053568199999994
5995,-8.053930299999994
6000,-9.033947399999994
6005,-9.034436299999994
6010,-9.043663199999994
6015,-9.044941899999994
6020,-9.061433799999994
6025,-9.153085599999994
6030,-9.165034799999994
6035,-9.166913299999994
6040,-9.175062399999995
6045,-9.177094099999994
6050,-9.763424199999994
6055,-9.764426499999994
6060,-9.773047599999993
6065,-9.774500099999992
6070,-9.785497199999993
6075,-9.886631999999993
6080,-9.930138499999993
6085,-9.931773199999993
6090,-9.948923099999993
6095,-9.949566199999992
6100,-10.560952699999993
6105,-10.562671699999992
6110,-10.572571199999992
6115,-10.574342999999992
6120,-10.581125899999991
6125,-10.705439799999992
6130,-10.715903299999992
6135,-10.717461299999991
6140,-10.731370299999991
6145,-10.732347599999992
6150,-11.668702999999992
6155,-11.672036799999992
6160,-11.689480099999992
6165,-11.691448899999992
6170,-11.700186999999993
6175,-11.933501899999992
6180,-12.028958799999993
6185,-12.032848999999993
6190,-12.068205399999993
6195,-12.071023999999992
6200,-12.924547999999993
6205,-12.926642399999993
6210,-12.937851799999994
6215,-12.944535399999994
6220,-12.968816199999994
6225,-13.059898199999994
6230,-13.072444599999994
6235,-13.085316799999994
6240,-13.122752899999995
6245,-13.125413199999995
6250,-14.099979099999995
6255,-14.104556599999995
6260,-14.118109599999995
6265,-14.121411199999995
6270,-14.140117199999995
6275,-14.425540299999994
6280,-14.501981599999995
6285,-14.505194899999996
6290,-14.535566199999996
6295,-14.539970099999996
6300,-15.515411299999997
6305,-15.517643499999997
6310,-15.539683799999997
6315,-15.547189999999997
6320,-15.565358899999996
6325,-15.715580799999996
6330,-15.766952899999996
6335,-15.770199599999996
6340,-15.793949899999996
6345,-15.796619599999996
6350,-16.229659299999994
6355,-16.235357399999994
6360,-16.245272499999995
6365,-16.253860999999993
6370,-16.272547899999992
6375,-16.52270439999999
6380,-16.540484299999992
6385,-16.54534659999999
6390,-16.564135499999992
6395,-16.56840769999999
6400,-17.57984559999999
6405,-17.584468199999993
6410,-17.607426499999992
6415,-17.609674099999992
6420,-17.632367699999993
6425,-17.838833499999993
6430,-17.862802099999993
6435,-17.868876099999994
6440,-17.888754599999995
6445,-17.895473899999995
6450,-18.467899399999997
6455,-18.487770899999997
6460,-18.518691399999998
6465,-18.5205499
6470,-18.5430894
6475,-18.7450296
6480,-18.7662524
6485,-18.7740591
6490,-18.801409
6495,-18.822644699999998
6500,-20.467362199999997
6505,-20.486557599999998
6510,-20.542890999999997
6515,-20.555829599999996
6520,-20.582072599999996
6525,-20.718639499999995
6530,-20.768192899999995
6535,-20.781853799999997
6540,-20.803127999999997
6545,-20.8099301
6550,-21.3395123
6555,-21.3469269
6560,-21.3691205
6565,-21.376901500000002
6570,-21.400740300000002
6575,-21.671634800000003
6580,-21.688689200000002
6585,-21.697409200000003
6590,-21.753944900000004
6595,-21.767468500000003
6600,-22.869069500000002
6605,-22.878458000000002
6610,-22.916081600000002
6615,-22.9259525
6620,-22.974703400000003
6625,-23.211322300000003
6630,-23.254402600000002
6635,-23.273348700000003
6640,-23.301228300000002
6645,-23.305068000000002
6650,-23.9603892
6655,-23.9777135
6660,-24.0100439
6665,-24.0033544
6670,-24.076791099999998
6675,-24.342251499999996
6680,-24.392502499999996
6685,-24.404925699999996
6690,-24.472571599999995
6695,-24.504694699999995
6700,-25.699248899999994
6705,-25.705220299999993
6710,-25.738386399999992
6715,-25.741196199999994
6720,-25.777923599999994
6725,-26.286680699999994
6730,-26.309019399999993
6735,-26.323608199999992
6740,-26.358870299999992
6745,-26.402414799999992
6750,-27.02740009999999
6755,-27.04540579999999
6760,-27.07424609999999
6765,-27.12122199999999
6770,-27.15706229999999
6775,-27.56766769999999
6780,-27.63605679999999
6785,-27.65460269999999
6790,-27.68842279999999
6795,-27.703953999999992
6800,-29.45988639999999
6805,-29.49627199999999
6810,-29.56377849999999
6815,-29.57954299999999
6820,-29.61561009999999
6825,-29.74445429999999
6830,-29.82013339999999
6835,-29.85013599999999
6840,-29.95234269999999
6845,-29.98868289999999
6850,-30.39649799999999
6855,-30.41933709999999
6860,-30.46898499999999
6865,-30.45384179999999
6870,-30.50249159999999
6875,-30.61794379999999
6880,-30.657744099999988
6885,-30.67079179999999
6890,-30.71623109999999
6895,-30.66651709999999
6900,-31.22216899999999
6905,-31.26499819999999
6910,-31.23066659999999
6915,-31.27592799999999
6920,-31.30421459999999
6925,-31.40741559999999
6930,-31.42799489999999
6935,-31.45362649999999
6940,-31.491699199999992
6945,-31.509087299999994
6950,-31.913090099999994
6955,-31.929468599999993
6960,-31.957242199999992
6965,-32.047943999999994
6970,-32.10260709999999
6975,-32.406270299999996
6980,-32.4642134
6985,-32.5269853
6990,-32.5993881
6995,-32.635054
7000,-34.3071218
7005,-34.3636182
7010,-34.3825364
7015,-34.4099683
7020,-34.5134589
7025,-34.7164373
7030,-34.8042219
7035,-34.8774029
7040,-34.9392811
7045,-35.004165
7050,-35.3694026
7055,-35.3963807
7060,-35.4592909
7065,-35.4767394
7070,-35.5410365
7075,-35.856493099999994
7080,-35.8266601
7085,-35.9075353
7090,-35.9582415
7095,-36.035338
7100,-37.928743100000005
7105,-37.97279
7110,-38.0980366
7115,-38.2773115
7120,-38.3210507
7125,-38.756400400000004
7130,-38.797053600000005
7135,-38.889291400000005
7140,-38.9776596
7145,-39.032823300000004
7150,-39.856196600000004
7155,-39.885764300000005
7160,-40.026968200000006
7165,-40.04667150000001
7170,-40.16016120000001
7175,-40.71427960000001
7180,-40.91376450000001
7185,-40.986030600000014
7190,-41.07188030000001
7195,-41.127783500000014
7200,-42.88939910000001
7205,-42.98505260000001
7210,-42.99483730000001
7215,-43.085930100000006
7220,-43.373104500000004
7225,-43.827538700000005
7230,-44.03785990000001
7235,-44.19419380000001
7240,-44.33535390000001
7245,-44.51018200000001
7250,-44.55475580000001
7255,-44.73999140000001
7260,-44.90937790000001
7265,-44.95400020000001
7270,-45.10350800000001
7275,-45.62807810000001
7280,-45.82124910000001
7285,-45.96490250000001
7290,-46.14119230000001
7295,-46.29442660000001
7300,-48.67534760000001
7305,-48.79105020000001
7310,-48.77120450000001
7315,-48.91768610000001
7320,-49.00027170000001
7325,-48.91306440000001
7330,-49.14742980000001
7335,-49.32910010000001
7340,-49.749193800000015
7345,-49.90509380000002
7350,-50.796395300000015
7355,-51.28596910000002
7360,-51.30590890000002
7365,-51.50313820000002
7370,-51.653522800000026
7375,-51.48316020000003
7380,-52.15564090000003
7385,-52.76405480000003
7390,-54.105643400000034
7395,-54.61861040000004
7400,-55.757382500000034
7405,-56.02142990000004
7410,-56.36049340000004
7415,-56.824295000000035
7420,-57.73676740000003
7425,-57.91677080000003
7430,-56.53962890000003
7435,-57.276860100000036
7440,-57.88357170000003
7445,-58.368393800000035
7450,-58.003070400000034
7455,-58.276843100000036
7460,-58.666581500000035
7465,-59.24074500000003
7470,-59.74179380000003
7475,-58.873396500000034
7480,-59.78172570000003
7485,-60.702304000000034
7490,-62.04269330000003
7495,-62.98066550000003
7500,-59.694840500000026
7505,-60.78560270000003
7510,-61.76307440000003
7515,-62.408826000000026
7520,-63.36621360000002
7525,-62.889678600000025
7530,-65.80452780000003
7535,-67.27324350000004
7540,-67.56256770000003
7545,-69.00766250000004
7550,-70.98689750000004
7555,-73.64857370000004
7560,-73.86294960000004
7565,-74.95049920000004
7570,-75.53452470000003
7575,-73.59486160000003
7580,-73.90107400000002
7585,-75.44553880000002
7590,-78.66268760000003
7595,-81.29597140000003
7600,-72.82392520000003
7605,-72.69108530000004
7610,-71.51017510000004
7615,-70.04521270000004
7620,-67.60514830000004
7625,-61.27370150000004
7630,-58.15872980000004
7635,-57.39162920000004
7640,-55.03704810000004
7645,-53.98767810000004
7650,-43.91967730000004
7655,-42.80493590000004
7660,-40.98499870000004
7665,-40.264228500000044
7670,-37.89452850000004
7675,-33.114738500000044
7680,-31.725502300000045
7685,-31.107918100000045
7690,-29.705709000000045
7695,-29.239942000000045
7700,-17.576394500000045
7705,-16.722620600000045
7710,-15.093976000000046
7715,-14.347426600000047
7720,-13.302430000000047
7725,-10.162312600000048
7730,-9.276146500000047
7735,-8.911943000000047
7740,-8.115619700000048
7745,-7.957480200000048
7750,-2.8290079000000476
7755,-2.3558116000000475
7760,-1.7250822000000476
7765,-1.5565854000000476
7770,-0.8725789000000477
7775,1.1394007999999523
7780,1.7140786999999524
7785,1.8837667999999526
7790,2.2232402999999525
7795,2.7362000999999525
7800,11.352631999999954
7805,11.456286099999954
7810,11.799972399999954
7815,11.847360299999954
7820,12.357562899999953
7825,14.334934799999953
7830,14.862804099999954
7835,14.878053499999954
7840,15.024087199999954
7845,15.034580199999954
7850,18.921643999999954
7855,18.955830599999956
7860,19.087725599999956
7865,19.093976099999956
7870,19.167178499999956
7875,20.024366199999957
7880,20.15215169999996
7885,20.154738799999958
7890,20.379683299999957
7895,20.388210899999958
7900,25.34908569999996
7905,25.35790839999996
7910,25.58099149999996
7915,25.58441729999996
7920,25.76935509999996
7925,26.31828709999996
7930,26.36531959999996
7935,26.36752919999996
7940,26.49710839999996
7945,26.49710839999996
7950,28.222086299999958
7955,28.22289289999996
7960,28.26541809999996
7965,28.26541809999996
7970,28.304038799999958
7975,28.86072919999996
7980,29.280492999999957
7985,29.289121999999956
7990,29.802496199999958
7995,29.807691199999958
8000,35.45839329999996
8005,35.46220729999996
8010,35.98309749999996
8015,35.98344409999996
8020,36.453576499999954
8025,37.207704499999956
8030,37.77689499999995
8035,37.779407499999955
8040,39.94719449999995
8045,39.94980459999995
8050,42.36666959999995
8055,42.37061459999995
8060,43.06289949999995
8065,43.06554879999995
8070,44.326370599999954
8075,44.76678949999995
8080,45.34231889999995
8085,45.34289159999995
8090,46.12967559999995
8095,46.13342519999995
8100,51.93865619999995
8105,51.93998349999995
8110,52.63085519999995
8115,52.63094059999995
8120,53.64931659999995
8125,53.840049799999946
8130,55.054860899999944
8135,55.055541199999944
8140,55.92839399999994
8145,55.92941649999994
8150,58.55987129999994
8155,58.560372599999944
8160,61.945859899999945
8165,61.945859899999945
8170,64.29949889999995
8175,64.93024789999994
8180,65.99851249999995
8190,66.64603229999994
8200,71.17599769999994
8210,71.17983909999994
8220,71.18339349999994
8225,71.29638489999994
8230,71.29875159999993
8240,71.30352169999993
8250,71.87705499999993
8260,71.87851079999993
8270,71.88117689999993
8275,72.06090089999992
8280,72.06479669999992
8290,72.07238419999992
8300,74.62430869999992
8310,74.62643479999991
8320,74.62643479999991
8325,74.78748689999992
8330,74.78748689999992
8340,74.78748689999992
8350,75.05720019999993
8360,75.05720019999993
8370,75.05885009999993
8375,75.10394999999993
8380,75.10394999999993
