expiration,strike,GEX
2026-05-29,749,-12.860240408999994
2026-05-29,750,-69.67758272869857
2026-05-29,751,3.2263771138099133
2026-05-29,752,-59.91020155975103
2026-05-29,753,-195.44890491674923
2026-05-29,754,-45.856073587803486
2026-05-29,755,1474.3574033767613
2026-05-29,756,1582.9553319925058
2026-05-29,757,2674.6991494675026
2026-05-29,758,798.386587240336
2026-05-29,759,154.3551212439586
2026-05-29,760,252.93469395459562
2026-05-29,761,37.989150168186
2026-05-29,762,37.59985640184956
2026-05-29,763,25.7341984077696
2026-06-01,749,-9.643694234524961
2026-06-01,750,-386.62203710231415
2026-06-01,751,-44.03672108798628
2026-06-01,752,-47.09614370297536
2026-06-01,753,49.41384480779736
2026-06-01,754,-22.474670452016472
2026-06-01,755,111.85734225824923
2026-06-01,756,120.67323710680294
2026-06-01,757,61.07259582285251
2026-06-01,758,55.01153593977879
2026-06-01,759,23.958570725342952
2026-06-01,760,88.82350855324947
2026-06-01,761,25.682185879893208
2026-06-01,762,16.22510802285884
2026-06-01,763,33.40044492038267
2026-06-02,749,-1.6219335203830823
2026-06-02,750,-14.320935092966236
2026-06-02,751,3.6681978176391237
2026-06-02,752,11.45138678303804
2026-06-02,753,4.116077123616561
2026-06-02,754,16.618402752878072
2026-06-02,755,23.250743093231602
2026-06-02,756,9.339963934376396
2026-06-02,757,24.537453013620077
2026-06-02,758,25.82381999426432
2026-06-02,759,20.91783832641496
2026-06-02,760,26.541135625966323
2026-06-02,761,11.061064197468879
2026-06-02,762,10.632789613537161
2026-06-02,763,7.926937874859519
2026-06-03,749,-1.6031289910739195
2026-06-03,750,5.6987440432841625
2026-06-03,751,-0.6412973217288033
2026-06-03,752,-8.151963503704994
2026-06-03,753,15.038250724668238
2026-06-03,754,-4.189580542132001
2026-06-03,755,33.37975422248021
2026-06-03,756,21.538902203233597
2026-06-03,757,28.685537846699038
2026-06-03,758,31.516734061896408
2026-06-03,759,48.787179581822805
2026-06-03,760,22.5594337254678
2026-06-03,761,10.3242010003452
2026-06-03,762,18.98765913258416
2026-06-03,763,14.54618934830788
2026-06-04,749,-4.88563390969112
2026-06-04,750,-11.311867463756396
2026-06-04,751,8.534855728148964
2026-06-04,752,6.906406352625321
2026-06-04,753,1.6769181927095587
2026-06-04,754,-0.7987066643349584
2026-06-04,755,36.22026696739607
2026-06-04,756,13.326867087662563
2026-06-04,757,13.433635661369282
2026-06-04,758,12.79125236378372
2026-06-04,759,10.333860469807957
2026-06-04,760,16.511691335795398
2026-06-04,761,17.31891433711232
2026-06-04,762,5.0257819518372004
2026-06-04,763,10.458633380087283
2026-06-05,749,-14.71914529265292
2026-06-05,750,5.821002062105685
2026-06-05,751,11.544037670606874
2026-06-05,752,24.54499768799336
2026-06-05,753,58.51197906586052
2026-06-05,754,6.183032118775081
2026-06-05,755,45.3977917762508
2026-06-05,756,-6.009790391309831
2026-06-05,757,2.9735162090569585
2026-06-05,758,52.29705355087112
2026-06-05,759,16.40675177405796
2026-06-05,760,161.47283563565975
2026-06-05,761,32.50028524837671
2026-06-05,762,27.358361036490244
2026-06-05,763,23.74360466232852
2026-06-08,749,-1.07946000161944
2026-06-08,750,-0.6295230571765592
2026-06-08,751,1.00864294443388
2026-06-08,752,3.32342906142984
2026-06-08,753,-4.363565305709761
2026-06-08,754,2.1762384603230003
2026-06-08,755,-10.212231173850837
2026-06-08,756,2.25648636047516
2026-06-08,757,4.15220011000984
2026-06-08,758,4.89723670437124
2026-06-08,759,3.4840963316062785
2026-06-08,760,5.204567871834321
2026-06-08,761,5.07104999807688
2026-06-08,762,3.3281159046011193
2026-06-08,763,2.3337049595532
2026-06-09,749,-2.9733447391848395
2026-06-09,750,2.15148964211368
2026-06-09,751,-4.76394745710996
2026-06-09,752,-4.118820641570479
2026-06-09,753,-1.8725081601744396
2026-06-09,754,13.271768102088
2026-06-09,755,66.07580090819391
2026-06-09,756,2.91990329570744
2026-06-09,757,7.785989639976879
2026-06-09,758,3.4682639467472005
2026-06-09,759,5.501553690346159
2026-06-09,760,4.1844364459684
2026-06-09,761,1.7145272513278798
2026-06-09,762,3.8300653769203996
2026-06-09,763,3.1823665132991197
2026-06-10,749,1.1448471795211994
2026-06-10,750,-1.8240964996125595
2026-06-10,751,-5.3081356745948
2026-06-10,752,-0.28704056592888033
2026-06-10,753,-1.8119792953160792
2026-06-10,754,0.5563625784053597
2026-06-10,755,0.8390592409072002
2026-06-10,756,2.6234890434360003
2026-06-10,757,4.741256277366079
2026-06-10,758,1.9017151950588798
2026-06-10,759,2.4097232695263995
2026-06-10,760,5.7745337267612005
2026-06-10,761,0.0
2026-06-10,762,0.0
2026-06-10,763,0.0
2026-06-11,749,-0.73714898024388
2026-06-11,750,0.2806390240363998
2026-06-11,751,-0.42730292132304
2026-06-11,752,-0.7815596771229599
2026-06-11,753,1.23869835619488
2026-06-11,754,-0.026634986802639905
2026-06-11,755,-3.251526028387519
2026-06-11,756,1.01658771517544
2026-06-11,757,-0.7350913417784399
2026-06-11,758,1.6481112541934
2026-06-11,759,1.44229025102536
2026-06-11,760,2.57456297325776
2026-06-11,761,0.0
2026-06-11,762,0.0
2026-06-11,763,0.0
2026-06-12,749,7.266321614205198
2026-06-12,750,9.975145497332916
2026-06-12,751,3.4344272253155195
2026-06-12,752,-4.485651854659202
2026-06-12,753,2.33387642942532
2026-06-12,754,44.06678547223133
2026-06-12,755,242.5325884756839
2026-06-12,756,2.6486951146376394
2026-06-12,757,1.3591845196711998
2026-06-12,758,7.461625798549881
2026-06-12,759,9.996007665107518
2026-06-12,760,427.5258321567959
2026-06-12,761,9.996007665107518
2026-06-12,762,10.53322277445948
2026-06-12,763,8.332006869431
2026-06-18,749,4.112133316557802
2026-06-18,750,159.22115043160397
2026-06-18,751,16.42212690592473
2026-06-18,752,-5.226973268458002
2026-06-18,753,-1.72910219045808
2026-06-18,754,-0.46771265451931954
2026-06-18,755,128.59405922289017
2026-06-18,756,5.848380085020879
2026-06-18,757,10.44182933261952
2026-06-18,758,20.19852221287156
2026-06-18,759,13.294230655335719
2026-06-18,760,150.64136959695955
2026-06-18,761,21.456139411623678
2026-06-18,762,22.555318448536916
2026-06-18,763,316.1608370580272
2026-06-26,749,2.610914586147202
2026-06-26,750,0.9233081047421601
2026-06-26,751,7.279410481110359
2026-06-26,752,2.5731912142807993
2026-06-26,753,1.2347545491361194
2026-06-26,754,-1.74396291270848
2026-06-26,755,7.189445954871397
2026-06-26,756,4.4182641949160395
2026-06-26,757,2.3367914172513595
2026-06-26,758,4.037772548681761
2026-06-26,759,1.1011795187546398
2026-06-26,760,14.333052297262721
2026-06-26,761,2.83531149212824
2026-06-26,762,17.522849171687046
2026-06-26,763,4.765262059462881
2026-06-30,749,0.5577914940063604
2026-06-30,750,15.823239799233598
2026-06-30,751,6.373535146700399
2026-06-30,752,4.280631044227721
2026-06-30,753,1.2632185479080398
2026-06-30,754,1.45389304570548
2026-06-30,755,16.221850095288563
2026-06-30,756,3.65436591462144
2026-06-30,757,2.2956958045666003
2026-06-30,758,5.399129020066479
2026-06-30,759,3.9909612735929993
2026-06-30,760,24.02058566242636
2026-06-30,761,2.6223459109552
2026-06-30,762,31.220948532489402
2026-06-30,763,8.3745885543408
2026-07-02,749,1.4418329980330404
2026-07-02,750,1.4275438420230397
2026-07-02,751,1.3914208556297603
2026-07-02,752,-0.2873835056731198
2026-07-02,753,1.45475039506608
2026-07-02,754,0.9013599611108002
2026-07-02,755,2.11130853541356
2026-07-02,756,-1.35392611025952
2026-07-02,757,0.35991526157987996
2026-07-02,758,-0.2564046154434399
2026-07-02,759,0.22639738782244
