strike,gex_bn_per_pct
200,-1.39e-05
400,-0.00011219999999999999
600,-0.0002808
800,-0.0005601
1000,-0.0011546
1200,-0.0017948
1400,-0.001545
1600,-0.0030675999999999998
1800,-0.0032208999999999996
2000,-0.0093822
2200,-0.0130014
2300,-0.0006687
2400,-0.010027800000000002
2500,-0.0178288
2600,-0.0100255
2700,-0.0230807
2800,-0.027709
2900,-0.0041136
3000,-0.032442599999999995
3100,-0.0065026
3200,-0.0239445
3300,-0.029586599999999998
3350,-1e-06
3400,-0.0239657
3450,-0.0007830000000000001
3500,-0.07411050000000001
3550,-0.0003417
3600,-0.0264213
3650,-0.0010274000000000001
3700,-0.0187343
3750,-0.0014235
3800,-0.041203
3850,-0.004339600000000001
3875,-1.17e-05
3900,-0.0272972
3925,-1.91e-05
3950,-0.0045939
3975,-0.0002691
4000,-0.07493679999999997
4025,-0.0004345
4050,-0.0091217
4075,-0.0004321
4100,-0.031340900000000005
4125,-0.0027785
4150,-0.01104
4175,-0.0014104
4200,-0.053176100000000004
4225,-0.0016567
4250,-0.012636399999999999
4275,-0.0023318
4300,-0.046846
4325,-0.0039344
4350,-0.011854799999999999
4375,-0.0032288
4400,-0.061230299999999994
4425,-0.00397
4450,-0.0184992
4475,-0.0035106000000000004
4500,-0.14003989999999997
4525,-0.0043087
4550,-0.0192967
4575,-0.0068037
4600,-0.08545370000000001
4625,-0.011487299999999999
4650,-0.029606399999999998
4675,-0.0084929
4700,-0.0931773
4725,-0.0054707
4750,-0.0433389
4775,-0.0140072
4800,-0.1326585
4825,-0.0086365
4850,-0.0478559
4875,-0.015034
4900,-0.08783519999999999
4925,-0.0125004
4950,-0.0251671
4975,-0.0185289
5000,-0.3236367
5005,-5.4600000000000006e-05
5010,-1.69e-05
5015,-4.399999999999999e-06
5020,0.0
5025,-0.0134577
5030,-3.899999999999999e-06
5035,-5.000000000000001e-07
5040,-6e-07
5045,-6e-07
5050,-0.0486248
5055,-1.2e-06
5060,-1.8e-06
5065,-5.9e-06
5070,-1.32e-05
5075,-0.0208029
5080,-6.1e-06
5085,-6e-07
5090,-1.2e-06
5095,-1.2e-06
5100,-0.176495
5105,-1.9e-06
5110,-1.47e-05
5115,-1.2999999999999998e-06
5120,-0.0001071
5125,-0.0285332
5130,-3.3e-06
5135,-2.13e-05
5140,-0.0001147
5145,-2e-06
5150,-0.0618606
5155,-1.4e-06
5160,-2.29e-05
5165,-1.12e-05
5170,-2.1e-06
5175,-0.0269705
5180,-1.4e-06
5185,-4.3e-06
5190,-0.0001761
5195,-2.35e-05
5200,-0.20918400000000004
5205,-4.0300000000000004e-05
5210,-0.0023799000000000003
5215,0.0
5220,-3.1e-06
5225,-0.039620499999999996
5230,-6.840000000000001e-05
5235,-3.1e-06
5240,-1.66e-05
5245,0.0
5250,-0.0746803
5255,-2.4e-06
5260,-2.29e-05
5265,0.0
5270,-1.6999999999999998e-06
5275,-0.053483499999999996
5280,-2.87e-05
5290,-6.96e-05
5300,-0.19715429999999998
5310,-4.4e-06
5320,-1.26e-05
5325,-0.034291100000000005
5330,-9.2e-06
5340,-3.7e-06
5350,-0.0731336
5360,-0.0001828
5370,-0.0001086
5375,-0.0203336
5380,-0.0001253
5390,-0.0001783
5400,-0.2639207
5410,-0.000479
5420,-0.0002867
5425,-0.0253328
5430,-0.0001416
5440,-0.0004187
5450,-0.0891037
5460,-0.0002475
5470,-0.0001607
5475,-0.053591799999999995
5480,-0.0004794
5490,-0.0019328999999999998
5500,-0.5406949
5510,-0.0012774000000000001
5520,-0.0008957
5525,-0.02393
5530,-0.0010493
5540,-0.0011651
5550,-0.0692292
5560,-0.0033477999999999997
5570,-0.0035189999999999996
5575,-0.043516
5580,-0.0022248
5590,-0.004055700000000001
5600,-0.3783397
5605,-0.0001272
5610,-0.0017799
5615,0.0
5620,-0.0022906999999999997
5625,-0.045309100000000005
5630,-0.0012544999999999998
5635,-0.0001305
5640,-0.0033298
5645,0.0
5650,-0.10674900000000001
5655,0.0
5660,-0.0015138
5665,-7.9e-06
5670,-0.0038424
5675,-0.0527247
5680,-0.0022233
5685,-8e-05
5690,-0.0033393999999999997
5695,-0.00019370000000000002
5700,-0.4534247
5705,-8.1e-06
5710,-0.0045176999999999995
5715,-2.07e-05
5720,-0.0027424
5725,-0.0442126
5730,-0.0025637999999999998
5735,-2.41e-05
5740,-0.0061644000000000004
5745,-0.0001737
5750,-0.24932890000000002
5755,-4.2000000000000004e-05
5760,-0.0025058
5765,-3.4e-05
5770,-0.0028683999999999997
5775,-0.06413949999999999
5780,-0.0037229999999999997
5785,-1.2800000000000001e-05
5790,-0.008133000000000001
5795,-0.0008673999999999999
5800,-0.6290831
5805,-1.52e-05
5810,-0.0047009999999999994
5815,-1.32e-05
5820,-0.0037906000000000003
5825,-0.0463526
5830,-0.008937500000000001
5835,-1.1299999999999999e-05
5840,-0.006503
5845,-7.049999999999999e-05
5850,-0.24913909999999997
5855,-4.87e-05
5860,-0.0048988999999999994
5865,-0.0005212999999999999
5870,-0.0027056
5875,-0.053596700000000004
5880,-0.0053406
5885,-0.0001739
5890,-0.0077987
5895,-7.499999999999999e-06
5900,-0.7843438
5905,-0.0001854
5910,-0.012711
5915,-3.88e-05
5920,-0.013772
5925,-0.1560953
5930,-0.0064647
5935,-1.88e-05
5940,-0.0149578
5945,-0.0022267000000000003
5950,-0.17556799999999997
5955,-5.6e-06
5960,-0.0080843
5965,-6.23e-05
5970,-0.0050118
5975,-0.0733489
5980,-0.0037481999999999997
5985,-0.00010290000000000001
5990,-0.0157267
5995,-0.0003703
6000,-0.9657846000000001
6005,-0.0004996
