strike,gex_bn_per_pct
200,-2.0300000000000002e-05
400,-0.0001229
600,-0.0003595
800,-0.0006302
1000,-0.0011638
1200,-0.0017656999999999998
1400,-0.0017011999999999997
1600,-0.003041
1800,-0.0032211
2000,-0.0092379
2200,-0.013001400000000001
2300,-0.0006642999999999999
2400,-0.0104966
2500,-0.017778099999999998
2600,-0.0098174
2700,-0.0232934
2800,-0.0280784
2900,-0.0042699
3000,-0.033596100000000004
3100,-0.0065477
3200,-0.024494500000000002
3300,-0.0306987
3350,-3e-07
3400,-0.0248578
3450,-0.0007827
3500,-0.0757067
3550,-0.0003409
3600,-0.0274484
3650,-0.0010361
3700,-0.0192688
3750,-0.0014152
3800,-0.040107399999999994
3850,-0.0045856
3875,-5.7999999999999995e-06
3900,-0.0295656
3925,-9.7e-06
3950,-0.0051742
3975,-0.0002622
4000,-0.08015260000000002
4025,-0.00042909999999999997
4050,-0.0094387
4075,-0.0004184
4100,-0.032297
4125,-0.0028288000000000002
4150,-0.010866699999999998
4175,-0.0014206000000000002
4200,-0.0556416
4225,-0.0016498
4250,-0.0141131
4275,-0.0023517
4300,-0.0484072
4325,-0.004019699999999999
4350,-0.0121652
4375,-0.0032417
4400,-0.0661822
4425,-0.0039878
4450,-0.0190237
4475,-0.0035741
4500,-0.14527890000000002
4525,-0.004441100000000001
4550,-0.0199191
4575,-0.0069859
4600,-0.0866092
4625,-0.011644400000000001
4650,-0.0306817
4675,-0.0087972
4700,-0.0911373
4725,-0.0058785
4750,-0.0451629
4775,-0.014286799999999999
4800,-0.14101909999999998
4825,-0.0088401
4850,-0.049359700000000006
4875,-0.0153117
4900,-0.0939942
4925,-0.012803400000000001
4950,-0.025906999999999996
4975,-0.018813
5000,-0.3430508000000001
5005,-4.88e-05
5010,-1.51e-05
5015,-3.9e-06
5020,0.0
5025,-0.013848899999999999
5030,-3.5e-06
5035,-5e-07
5040,-5e-07
5045,-5e-07
5050,-0.0501972
5055,-1.1e-06
5060,-1.6000000000000001e-06
5065,-5.4e-06
5070,-1.1900000000000001e-05
5075,-0.0213701
5080,-5.5e-06
5085,-6e-07
5090,-1.1e-06
5095,-1.1e-06
5100,-0.183448
5105,-1.6999999999999998e-06
5110,-1.34e-05
5115,-1.2e-06
