strike,cumulative_gex_bn_per_pct
200,-1.39e-05
400,-0.0001243
600,-0.00042239999999999997
800,-0.0010081
1000,-0.0021461
1200,-0.0039326
1400,-0.0054635
1600,-0.0084826
1800,-0.0116469
2000,-0.0207769
2200,-0.0334923
2300,-0.0341452
2400,-0.0439338
2500,-0.0614625
2600,-0.0713857
2700,-0.09365079999999999
2800,-0.12100979999999999
2900,-0.1250801
3000,-0.1566333
3100,-0.1630559
3200,-0.1867869
3300,-0.2160265
3350,-0.2160311
3400,-0.23977310000000002
3450,-0.2405459
3500,-0.3131079
3550,-0.3134498
3600,-0.3396917
3650,-0.34072749999999996
3700,-0.35934869999999997
3750,-0.360795
3800,-0.401732
3850,-0.406105
3875,-0.4061362
3900,-0.4333439
3925,-0.4333928
3950,-0.43800690000000003
3975,-0.43830410000000003
4000,-0.5130319000000001
4025,-0.5134964000000001
4050,-0.5226016000000001
4075,-0.5230842000000001
4100,-0.5535602000000002
4125,-0.5563968000000001
4150,-0.5675114000000001
4175,-0.5689545000000001
4200,-0.6220896000000001
4225,-0.6237825000000001
4250,-0.6362439000000001
4275,-0.6384779
4300,-0.6851511
4325,-0.6890607
4350,-0.700627
4375,-0.7037658
4400,-0.763378
4425,-0.7672977
4450,-0.7857773
4475,-0.7891495000000001
4500,-0.928637
4525,-0.9328908
4550,-0.9521126
4575,-0.9588770999999999
4600,-1.0451986
4625,-1.0566699
4650,-1.0860382
4675,-1.0943064999999998
4700,-1.1871900999999998
4725,-1.1926221
4750,-1.2362011
4775,-1.2501588
4800,-1.3829052
4825,-1.3916024999999999
4850,-1.4395149999999999
4875,-1.4546172999999998
4900,-1.5420332999999997
4925,-1.5545165999999997
4950,-1.5795164999999998
4975,-1.5981133999999997
5000,-1.9225763999999996
5005,-1.9226334999999997
5010,-1.9226510999999997
5015,-1.9226556999999997
5020,-1.9226556999999997
5025,-1.9361898999999998
5030,-1.9361939999999997
5035,-1.9361945999999997
5040,-1.9361951999999996
5045,-1.9361957999999995
5050,-1.9843070999999994
5055,-1.9843082999999995
5060,-1.9843100999999994
5065,-1.9843162999999995
5070,-1.9843299999999995
5075,-2.0053275999999993
5080,-2.0053338999999992
5085,-2.005334499999999
5090,-2.0053357999999992
5095,-2.0053370999999993
5100,-2.1812863999999994
5105,-2.1812883999999992
5110,-2.181303699999999
5115,-2.181304999999999
5120,-2.181416899999999
5125,-2.212243099999999
5130,-2.212246499999999
5135,-2.212268699999999
5140,-2.212388499999999
5145,-2.212390599999999
5150,-2.273843699999999
5155,-2.2738443999999993
5160,-2.2738682999999993
5165,-2.2738799999999992
5170,-2.273882199999999
5175,-2.3008903999999992
5180,-2.3008918999999994
5185,-2.3008963999999996
5190,-2.3010802999999997
5195,-2.3011047999999996
5200,-2.5102404
5205,-2.5102824999999998
5210,-2.5127692999999995
5215,-2.5127692999999995
5220,-2.5127724999999996
